timestamp,economic,commercial air traffic,walmart
12/21/2013 10:21,455.09827359,416.763642874,824.916107383
12/21/2013 10:30,455.09827359,416.763642874,824.916107383
12/21/2013 10:40,457.499098826,423.957194713,824.244966443
12/21/2013 10:50,457.499098826,423.957194713,824.244966443
12/21/2013 11:10,452.995965364,422.621294943,813.192114094
12/21/2013 11:20,455.742690229,423.900693563,815.079697987
12/21/2013 11:30,455.742690229,423.900693563,815.897651007
12/21/2013 11:50,455.742690229,423.900693563,815.729865772
12/21/2013 12:00,445.935107768,418.524038621,792.911073826
12/21/2013 12:10,454.055994549,419.84836092,814.114932886
12/21/2013 12:20,454.055994549,419.84836092,814.114932886
12/21/2013 12:30,454.055994549,419.84836092,814.114932886
12/21/2013 12:40,460.848937423,419.84836092,815.037751678
12/21/2013 12:50,460.848937423,419.84836092,806.333892617
12/21/2013 13:00,460.848937423,419.583648851,804.823825503
12/21/2013 13:10,460.848937423,419.583648851,803.544463087
12/21/2013 13:21,460.848937423,419.583648851,803.376677852
12/21/2013 13:30,460.848937423,419.583648851,806.019295302
12/21/2013 13:40,460.848937423,419.583648851,806.019295302
12/21/2013 13:50,460.848937423,419.583648851,805.851510067
12/21/2013 14:00,460.848937423,419.583648851,805.264261745
12/21/2013 14:10,459.449096469,418.710788506,804.068791946
12/21/2013 14:20,459.449096469,418.710788506,804.068791946
12/21/2013 14:30,459.449096469,418.710788506,804.068791946
12/21/2013 14:40,459.449096469,418.710788506,804.383389262
12/21/2013 14:50,459.449096469,418.710788506,804.383389262
12/21/2013 15:00,459.449096469,418.710788506,804.383389262
12/21/2013 15:10,459.449096469,418.710788506,804.383389262
12/21/2013 15:20,459.449096469,418.710788506,804.76090604
12/21/2013 15:40,441.771068893,391.129658851,762.269295302
12/21/2013 15:50,441.771068893,391.129658851,762.143456376
12/21/2013 16:00,441.771068893,391.129658851,762.479026846
12/21/2013 16:10,441.771068893,391.129658851,761.304530201
12/21/2013 16:30,441.771068893,391.129658851,754.299496644
12/21/2013 16:40,441.771068893,391.129658851,755.473993289
12/21/2013 16:50,442.698607675,391.74178023,755.956375839
12/21/2013 17:00,442.698607675,391.74178023,756.061241611
12/21/2013 17:10,442.698607675,391.74178023,755.662751678
12/21/2013 17:20,442.698607675,387.840993103,753.418624161
12/21/2013 17:30,442.698607675,387.840993103,753.418624161
12/21/2013 17:40,448.14084441,393.11796092,757.655201342
12/21/2013 17:50,448.14084441,393.11796092,756.187080537
12/21/2013 18:00,448.14084441,393.11796092,756.606543624
12/21/2013 18:10,446.378739141,388.603898506,755.306208054
12/21/2013 18:20,446.378739141,388.603898506,755.494966443
